"";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj";"gene"
"Pgls";1,29302751381162e-83;-0,268362194451621;0,302;0,416;2,90129513549052e-79;"Pgls"
"Selenok";1,77706718167573e-83;-0,233341880506991;0,673;0,775;3,98738334224401e-79;"Selenok"
"Ssr2";3,97819641619499e-83;-0,266360218471966;0,248;0,357;8,92627711865831e-79;"Ssr2"
"Psmb3";4,3688557456521e-83;-0,265050294798827;0,389;0,506;9,80283852209419e-79;"Psmb3"
"Tmem59";9,48666273099384e-83;-0,252118482335467;0,465;0,583;2,1286173835804e-78;"Tmem59"
"Mrpl30";1,75986583364367e-82;-0,280690088704887;0,23;0,334;3,94878695752966e-78;"Mrpl30"
"Gm26917";1,962292417104e-82;0,531228088124606;0,39;0,295;4,40299172549796e-78;"Gm26917"
"Mt1";2,1266782406668e-82;-0,526684029074596;0,346;0,453;4,77184063640817e-78;"Mt1"
"Mat2a";2,5530585759599e-82;0,426171421956216;0,616;0,552;5,72855283273883e-78;"Mat2a"
"Clec3b";9,63030649510931e-82;-0,356393080455678;0,531;0,631;2,16084817137263e-77;"Clec3b"
"Atp6v0c";2,26763252265987e-81;-0,270698766717164;0,455;0,569;5,08811385434421e-77;"Atp6v0c"
"Hsd17b10";4,38987294833499e-81;-0,264014492125612;0,159;0,252;9,84999692147406e-77;"Hsd17b10"
"Atf3";4,48905373844766e-81;0,61791043117143;0,441;0,346;1,00725387783289e-76;"Atf3"
"Psma7";5,26418623306163e-81;-0,244485391092182;0,535;0,648;1,18117810697437e-76;"Psma7"
"Spon1";7,88099237328378e-81;-0,36107301953518;0,221;0,319;1,76833706871741e-76;"Spon1"
"Ccdc80";1,2893273996785e-80;-0,369867555681759;0,319;0,423;2,89299281939861e-76;"Ccdc80"
"Ndufv2";1,70599581495249e-80;-0,265265698193559;0,213;0,315;3,82791340959039e-76;"Ndufv2"
"Ndufb8";2,53663090899666e-80;-0,27285684917808;0,349;0,462;5,69169243360672e-76;"Ndufb8"
"Rnaseh2c";2,57390733091078e-80;-0,284784259049328;0,201;0,3;5,77533326909761e-76;"Rnaseh2c"
"Ccdc85b";3,61569115349533e-80;-0,305099785051981;0,258;0,363;8,11288781021282e-76;"Ccdc85b"
"Slc25a4";5,87806985943817e-80;-0,283106372054035;0,512;0,617;1,31892131506074e-75;"Slc25a4"
"Btg2";1,49673358890402e-79;0,446086546515314;0,663;0,585;3,35837082678283e-75;"Btg2"
"Ssna1";2,20582090712854e-79;-0,24672174152855;0,124;0,209;4,94942095141501e-75;"Ssna1"
"Sec61g";2,33916901170485e-79;-0,21700979934042;0,7;0,796;5,24862742846334e-75;"Sec61g"
"Hsd11b1";5,31324166157399e-79;-0,341550814125381;0,221;0,32;1,19218516402397e-74;"Hsd11b1"
"Gabarapl2";6,48169817497357e-79;-0,275950887356936;0,328;0,438;1,45436343650057e-74;"Gabarapl2"
"Ppp1r11";8,92898499399885e-79;-0,295790356234081;0,214;0,315;2,00348565295346e-74;"Ppp1r11"
